dataRowId	description	fields
1	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_primary_artist""],""value"":[""Joe Satriani (Guitarist)""]}]"
2	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_remixer""],""value"":[""Joe Satriani (Guitarist)""]}]"
3	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_composer""],""value"":[""Joe Satriani (Guitarist)""]}]"
4	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_conductor""],""value"":[""Joe Satriani (Guitarist)""]}]"
5	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist""],""value"":[""Joe Satriani (Guitarist)""]}]"
6	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_featuring""],""value"":[""Joe Satriani (Guitarist)""]}]"
7	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_remixer""],""value"":[""Joe Satriani (Guitarist)""]}]"
8	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_composer""],""value"":[""Joe Satriani (Guitarist)""]}]"
9	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani (Guitarist)""]}]"
10	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_featuring"",""track_artist_conductor""],""value"":[""Joe Satriani Guitarist"",""Joe Satriani โจอี้ บอย""]}]"
11	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani โจอี้ บอย""]}]"
12	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani โจอี้ บอย""]}]"
13	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani โจอี้ บอย""]}]"
14	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_featuring"",""track_artist_conductor""],""value"":[""Joe Satriani Pianos "",""Joe Satriani โจอี้ บอย""]}]"
15	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani 群星 ""]}]"
16	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""track_artist_conductor""],""value"":[""Joe Satriani 群星 ""]}]"
17	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""orchard_artist""],""value"":[""Joe Satriani (Guitarist)""]}]"
18	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_featuring""],""value"":[""Joe Satriani (Guitarist)""]}]"
19	The artist name must not include any additional information, such as role, date, instrument, former band, website, and so on.	"[{""name"":[""release_artists_featuring"",""release_artists_remixer""],""value"":[""Joe Satriani (Guitarist)"",""Joe Satriani (Guitarist)""]}]"
